,0,1
1104,27658,35025
1105,1582740,36711
1106,157241,34220
1107,82693,5648
1108,82693,2202
1109,82693,44399
1110,5648,2202
1111,5648,44399
1112,2202,44399
1113,536239,696632
1114,536239,696631
1115,696632,696631
1116,536239,696632
1117,155417,51617
1118,5648,27555
1119,227198,211100
1120,1153964,117845
1121,534737,57471
1122,157238,58554
1123,173557,232986
1124,133866,60978
1125,133866,48604
1126,60978,48604
1127,45095,37910
1128,45095,181339
1129,45095,63978
1130,37910,181339
1131,37910,63978
1132,181339,63978
1133,46282,46283
1134,217370,126433
1135,173141,15787
1136,1415262,1229464
1137,110844,110154
1138,9707,36112
1139,9707,618095
1140,9707,302458
1141,9707,96155
1142,9707,13879
1143,36112,618095
1144,36112,302458
1145,36112,96155
1146,36112,13879
1147,618095,302458
1148,618095,96155
1149,618095,13879
1150,302458,96155
1151,302458,13879
1152,96155,13879
1153,144758,164246
1154,188504,284475
1155,38514,221653
1156,112786,221030
1157,493153,493152
1158,1928545,336749
1159,137540,96954
1160,570484,829837
1161,1150428,144159
1162,885491,885492
1163,3329552,3232614
1164,325179,238758
1165,45044,46281
1166,1097157,191242
1167,1097157,1491576
1168,191242,1491576
1169,4818,5648
1170,4818,39908
1171,5648,39908
1172,40585,285707
1173,3273,22805
1174,9966,94122
1175,9966,231636
1176,94122,231636
1177,463122,215369
1178,769374,242476
1179,121637,383627
1180,2510351,841748
1181,2090173,2136493
1182,26246,190329
1183,26246,184674
1184,190329,184674
1185,4566288,4533949
1186,4370668,3518978
1187,3575808,4095543
1188,44958,1611895
1189,3532619,4220518
1190,3808680,3048346
1191,4221376,2681815
1192,1407864,2382590
1193,2352149,3302431
1194,689243,86435
1195,689243,284053
1196,86435,284053
1197,28104,1153964
1198,3041494,3754803
1199,356901,356899
1200,1884083,1884082
1201,4369059,1738483
1202,50997,166308
1203,2937522,2937520
1204,37197,80040
1205,132084,722712
1206,215993,65049
1207,237323,170971
1208,232886,119629
1209,141241,630296
1210,4848,772340
1211,288069,65869
1212,362369,348302
1213,175154,1059062
1214,810662,810663
1215,793283,1248419
1216,175089,90013
1217,80569,173280
1218,463122,2474800
1219,320851,431810
1220,320851,1459951
1221,431810,1459951
1222,79703,66806
1223,79703,169257
1224,66806,169257
1225,100610,1422394
1226,1218066,1215399
1227,13876,53485
1228,13876,34335
1229,53485,34335
1230,988770,215993
1231,185848,143896
1232,185848,231900
1233,143896,231900
1234,39908,105456
1235,39908,14753
1236,105456,14753
1237,50514,93616
1238,50514,11152
1239,93616,11152
1240,373167,3870138
1241,177857,3621229
1242,220580,242695
1243,220580,250604
1244,242695,250604
1245,130964,232451
1246,214299,192683
1247,410449,611732
1248,63774,62571
1249,107769,36100
1250,107769,211036
1251,36100,211036
1252,198567,178698
1253,198567,297092
1254,198567,297093
1255,178698,297092
1256,178698,297093
1257,297092,297093
1258,177091,216408
1259,208076,133869
1260,208076,1034178
1261,133869,1034178
1262,132084,78349
1263,132084,127836
1264,78349,127836
1265,13732,241015
1266,133866,823874
1267,133866,184282
1268,823874,184282
1269,167209,302446
1270,167209,179335
1271,302446,179335
1272,180993,197812
1273,180993,133869
1274,197812,133869
1275,2250916,218956
1276,2250916,449949
1277,218956,449949
1278,343355,186837
1279,80799,150565
1280,152098,272157
1281,26592,26713
1282,26592,14742
1283,26713,14742
1284,35746,116237
1285,130532,43011
1286,130532,50595
1287,130532,62919
1288,43011,50595
1289,43011,62919
1290,50595,62919
1291,38561,9741
1292,173448,612591
1293,366551,16409
1294,1516953,174122
1295,1516953,354816
1296,174122,354816
1297,988770,2210246
1298,988770,1479204
1299,2210246,1479204
1300,65048,124892
1301,3298939,3298943
1302,2871359,3298939
1303,2871359,2689392
1304,3298939,2689392
1305,1596318,97976
1306,775889,1047641
1307,50997,9741
1308,2042023,2042026
1309,3255590,3255589
1310,3255590,3255591
1311,3255589,3255591
1312,298137,81056
1313,193558,184474
1314,233184,137602
1315,233184,120307
1316,137602,120307
1317,231095,110844
1318,13733,35125
1319,1093094,137880
1320,1093094,14014
1321,137880,14014
1322,33417,31518
1323,51065,191373
1324,46282,149094
1325,76017,82690
1326,76017,110595
1327,82690,110595
1328,50677,223696
1329,661484,661485
1330,32551,199215
1331,3448166,3228170
1332,130210,246248
1333,1271206,1271205
1334,244195,842291
1335,295234,295231
1336,130210,283446
1337,10578,217894
1338,3007550,1283971
1339,3007550,1546718
1340,1283971,1546718
1341,132084,209294
1342,132084,209294
1343,899392,43011
1344,899392,14488
1345,899392,50514
1346,899392,98629
1347,899392,219213
1348,899392,23045
1349,899392,257884
1350,899392,112737
1351,899392,17594
1352,899392,35746
1353,899392,159342
1354,43011,14488
1355,43011,50514
1356,43011,98629
1357,43011,219213
1358,43011,23045
1359,43011,257884
1360,43011,112737
1361,43011,17594
1362,43011,35746
1363,43011,159342
1364,14488,50514
1365,14488,98629
1366,14488,219213
1367,14488,23045
1368,14488,257884
1369,14488,112737
1370,14488,17594
1371,14488,35746
1372,14488,159342
1373,50514,98629
1374,50514,219213
1375,50514,23045
1376,50514,257884
1377,50514,112737
1378,50514,17594
1379,50514,35746
1380,50514,159342
1381,98629,219213
1382,98629,23045
1383,98629,257884
1384,98629,112737
1385,98629,17594
1386,98629,35746
1387,98629,159342
1388,219213,23045
1389,219213,257884
1390,219213,112737
1391,219213,17594
1392,219213,35746
1393,219213,159342
1394,23045,257884
1395,23045,112737
1396,23045,17594
1397,23045,35746
1398,23045,159342
1399,257884,112737
1400,257884,17594
1401,257884,35746
1402,257884,159342
1403,112737,17594
1404,112737,35746
1405,112737,159342
1406,17594,35746
1407,17594,159342
1408,35746,159342
1409,47512,144910
1410,47512,113467
1411,144910,113467
1412,111502,1995055
1413,3036981,679338
1414,3036981,206862
1415,679338,206862
1416,1219296,115725
1417,2708839,3045466
1418,216708,819142
1419,100257,558024
1420,1198438,1252580
1421,614963,4061019
1422,4949103,3721503
1423,4949103,2644206
1424,3721503,2644206
1425,32296,57508
1426,72041,668332
1427,1409320,92898
1428,257267,2194
1429,257267,86435
1430,2194,86435
1431,214242,258407
1432,1336527,1336526
1433,1546718,607358
1434,1546718,715813
1435,607358,715813
1436,1746110,1633080
1437,3420655,1751938
1438,204817,38661
1439,187964,40445
1440,187964,32446
1441,187964,22910
1442,40445,32446
1443,40445,22910
1444,32446,22910
1445,2050581,139777
1446,2050581,1804672
1447,2050581,1804673
1448,139777,1804672
1449,139777,1804673
1450,1804672,1804673
1451,1439270,3678583
1452,4069674,93245
1453,1748722,4084043
1454,62134,75187
1455,842568,1003710
1456,1357841,109335
1457,143557,39376
1458,3215347,1525271
1459,1835598,2334532
1460,316367,226194
1461,1222520,1645496
1462,48506,1229163
1463,2345618,3071837
1464,207191,350933
1465,113673,892906
1466,3542151,793307
1467,212142,205201
1468,212142,331629
1469,212142,122418
1470,205201,122418
1471,331629,122418
1472,1825993,220580
1473,34413,72025
1474,16508,150554
1475,476414,186449
1476,44661,1043981
1477,674503,198011
1478,6953,48354
1479,1226949,1116086
1480,39954,39955
1481,2050581,3887730
1482,59037,82679
1483,406165,35848
1484,37906,110844
1485,37906,90037
1486,110844,90037
1487,76242,51352
1488,76242,108856
1489,51352,108856
1490,36099,150781
1491,97139,120307
1492,97139,36100
1493,120307,36100
1494,41922,37906
1495,9373,50200
1496,158786,8285
1497,76894,45746
1498,2048827,65049
1499,669039,72461
1500,28738,14560
1501,138038,109832
1502,420349,36100
1503,39455,51368
1504,239305,120307
1505,209479,120307
1506,374226,382934
1507,1525173,134987
1508,220580,382934
1509,910493,245385
1510,470620,293744
1511,2697998,487029
1512,2697998,120307
1513,487029,120307
1514,1043044,885100
1515,62571,100751
1516,1264567,229665
1517,1264567,382934
1518,229665,382934
1519,231481,37908
1520,445619,480659
1521,133768,885654
1522,331629,284475
1523,76242,37908
1524,181022,51368
1525,181022,313773
1526,51368,313773
1527,4640901,4640900
1528,220915,137204
1529,220915,214299
1530,220915,192718
1531,137204,214299
1532,137204,192718
1533,214299,192718
1534,389016,494714
1535,389016,295997
1536,494714,295997
1537,137604,2155220
1538,209479,210528
1539,209479,137602
1540,210528,137602
1541,51988,929836
1542,703922,186264
1543,1637106,33815
1544,173998,54813
