,0,1
2236,132084,90037
2237,36100,382934
2242,12466,45744
2244,12466,35646
2246,45744,35646
2300,25495,63774
2301,81056,174883
2302,210799,1065010
2303,109832,50997
2304,109832,836451
2305,50997,836451
2306,173559,195945
2307,137604,326107
2308,211042,1041951
2310,342282,137603
2317,215092,50997
2318,192867,39838
2319,205201,13936
2320,331629,13936
2326,180140,66824
2327,1065010,137880
2328,1065010,1124616
2329,137880,1124616
2350,36100,218290
2351,36100,95080
2352,218290,95080
2364,139263,275854
2365,356428,39015
2366,356428,28738
2367,39015,28738
2368,76894,2265
2369,21742,10990
2370,49187,341733
2373,4091,50581
2374,31751,137880
2376,13873,5682
2377,13873,44392
2378,13873,17594
2379,13873,4848
2380,13873,167524
2381,5682,44392
2382,5682,17594
2383,5682,4848
2384,5682,167524
2385,44392,17594
2386,44392,4848
2387,44392,167524
2388,17594,4848
2389,17594,167524
2390,4848,167524
2391,4778,17587
2392,35746,51984
2394,13732,69544
2395,51368,77855
2397,177093,51368
2398,50200,175184
2399,171146,50997
2400,26245,200496
2401,349214,5052338
2402,144758,164246
2403,204691,201124
2411,50997,241531
2418,141600,120307
2419,141600,209479
2420,120307,209479
2421,50200,229665
2422,50200,1065010
2423,50200,982496
2424,229665,1065010
2425,229665,982496
2426,1065010,982496
2428,141600,212142
2429,164236,151357
2430,569040,43315
2431,181073,43011
2434,60978,81700
2443,174303,66154
2446,114823,115941
2447,114823,382934
2448,115941,382934
2454,219204,908622
2455,49187,51369
2456,792955,137603
2459,137878,60978
2462,184488,86495
2463,184488,37913
2464,86495,37913
2466,58435,373344
2467,58435,769482
2468,58435,214242
2469,373344,769482
2470,373344,214242
2471,769482,214242
2472,59176,5953
2473,43315,214242
2475,27341,18119
2478,209748,66824
2479,595828,93780
2480,35125,3495289
2481,35125,221673
2482,3495289,221673
2489,74169,18684
2490,74169,9741
2491,18684,9741
2493,747767,1065010
2494,747767,113583
2495,1065010,113583
2498,65049,14646
2500,2503395,221673
2502,3243777,3755115
2503,1638200,16508
2507,179826,349341
2510,45241,44958
2511,219204,329649
2512,206660,174136
2524,178698,76037
2532,211211,41922
2534,1615988,1065010
2536,1615988,1065010
2537,1615988,357753
2540,1065010,357753
2542,37908,341733
2545,2418185,1128599
2547,177086,122418
2548,177086,53127
