V1,V2
1264567,382934
229665,382934
231481,37908
445619,480659
133768,885654
331629,284475
76242,37908
181022,51368
181022,313773
51368,313773
4640901,4640900
220915,137204
220915,214299
220915,192718
137204,214299
137204,192718
214299,192718
389016,494714
389016,295997
494714,295997
137604,2155220
209479,210528
209479,137602
210528,137602
51988,929836
703922,186264
1637106,33815
173998,54813
732059,184126
732059,4963952
184126,4963952
235485,1138499
126035,532446
160382,877605
481481,173497
1655661,468456
16655,41279
16655,2629015
16655,108790
41279,2629015
41279,108790
2629015,108790
136271,1382520
916716,721564
377797,377803
1184795,176167
366992,1685541
4989334,3911234
312689,2145980
312689,2145980
296087,17594
109799,348891
184270,652804
3784498,1536138
244196,1705712
13247,4091
278276,275922
16756,218316
13333,966095
13333,460590
13333,1334204
966095,460590
966095,1334204
460590,1334204
601906,1752413
755799,755794
2810122,3901892
5777861,715813
59769,51271
15585,171970
4834,93580
9373,111519
2119626,3261894
948645,948646
79745,145066
1728225,1553064
2202,58554
2202,99172
2202,26931
58554,99172
58554,26931
99172,26931
58554,186837
231775,216149
14480,3592015
14480,14484
3592015,14484
277718,305386
5953,69273
5953,12627
69273,12627
18684,31715
76073,209748
143799,187941
125634,1287745
125634,1170201
1287745,1170201
382934,494714
187278,123984
10991,150433
36100,614963
36100,1502171
36100,2384436
614963,1502171
614963,2384436
1502171,2384436
213422,350605
213422,214578
350605,214578
229665,38661
37906,10995
180140,383281
61671,196444
61671,356022
196444,356022
51369,1783757
192835,106523
97515,51368
39833,10991
57770,122418
57770,180140
122418,180140
21742,38661
50718,60650
12469,53527
60978,194
174364,203001
133237,51978
1316978,1283682
2955370,583471
111523,246441
3500578,3500577
97139,1615988
86470,313251
86475,86482
57509,40444
144758,164246
14480,14484
471236,297828
1305084,929395
1305084,929395
1692677,1233084
1692677,547620
1233084,547620
1433404,236239
5004,25650
17900,14753
17900,66417
14753,66417
988770,1884031
4739612,4739613
4739612,179014
4739613,179014
3090028,2279170
1787620,1065142
106752,106753
1432403,37253
1432403,83004
37253,83004
272326,5645492
1206946,3892800
5083440,2669923
5219630,1848975
1835543,1121344
6502830,4316864
244195,1858622
21742,180140
21742,137880
21742,1065010
180140,137880
180140,1065010
137880,1065010
215848,216706
215848,278266
216706,278266
223721,126962
3763,38661
3763,108184
3763,40792
38661,108184
38661,40792
108184,40792
153319,6196194
39664,320531
39664,93425
173406,326128
4147747,236687
103272,218830
299563,4818
184674,189527
206826,35125
46277,113453
223436,16757
1985532,2163003
1715693,1715694
1949449,1929713
1064181,1064183
1765870,1595934
2302605,2302607
1436384,2139606
275545,275543
275545,285086
214595,953414
992640,269697
227110,194507
89618,105450
124603,27811
407747,407748
197215,195645
1323892,174375
1323892,41767
174375,41767
198544,206695
420353,95080
1539607,382934
1539607,1043043
382934,1043043
209748,137880
1445,89866
1445,59048
89866,59048
50200,268611
167209,394016
15787,39664
39838,14743
39838,110153
39838,231481
14743,110153
14743,231481
110153,231481
1807411,859378
1807411,859376
1807411,859379
1807411,817444
1807411,1741917
1807411,489731
1807411,52898
1807411,1807409
1807411,1807410
859378,859376
859378,859379
859378,817444
859378,1741917
859378,489731
859378,52898
859378,1807409
859378,1807410
859376,859379
859376,817444
859376,1741917
859376,489731
859376,52898
859376,1807409
859376,1807410
859379,817444
859379,1741917
859379,489731
859379,52898
859379,1807409
859379,1807410
817444,1741917
817444,489731
817444,52898
817444,1807409
817444,1807410
1741917,489731
1741917,52898
1741917,1807409
1741917,1807410
489731,52898
489731,1807409
489731,1807410
52898,1807409
52898,1807410
1807409,1807410
1703423,1703424
2222687,2222688
2118351,929395
1436384,2091637
1436384,1436385
1436384,1436385
33534,60978
60978,33534
33534,37913
33534,80325
33534,181022
33534,2082945
181022,2082945
33534,132084
225194,219325
202250,194
209294,109397
209294,194
109397,194
4478,298134
4478,261590
298134,261590
1302045,295575
4478,5455
53529,4478
1891384,100864
4478,3351365
286969,57800
202917,35534
813427,854043
813427,854044
854043,854044
228360,1098199
1113650,1264256
1113650,366003
1264256,366003
145845,173008
145845,73036
173008,73036
601751,204190
4428973,396096
628314,1049067
140798,776633
197311,300541
3306031,4157006
2904429,3888161
21742,137880
122750,617666
792536,803809
35125,66152
241513,229665
241513,181022
241513,341733
241513,366255
241513,45095
241513,1264567
241513,374226
229665,181022
229665,341733
229665,366255
229665,45095
229665,1264567
229665,374226
181022,341733
181022,366255
181022,45095
181022,1264567
181022,374226
341733,366255
341733,45095
341733,1264567
341733,374226
366255,45095
366255,1264567
366255,374226
45095,1264567
45095,374226
1264567,374226
3085560,95080
67691,885103
67691,1195707
67691,232956
885103,1195707
885103,232956
1195707,232956
366255,494714
165952,126073
165952,50997
126073,50997
54092,39015
54092,254045
39015,254045
673612,130964
1375260,2368996
2140468,3862684
200586,232863
200586,41233
200586,2810122
232863,41233
232863,2810122
41233,2810122
215993,44958
215993,50997
14757,217277
160941,55076
39908,4778
1464791,133768
1464791,210318
133768,210318
3163728,205836
2526283,2329599
157017,134073
32417,72087
347216,520053
347216,507831
520053,507831
5682,78711
5682,218405
78711,218405
39833,86495
39833,37907
86495,37907
222365,3268030
376312,1719953
1318171,1400229
140547,1749482
895432,903880
1694724,961105
722093,1082420
1621054,2158543
1882455,2577754
764060,1590067
3698614,1699528
3698614,5429451
1699528,5429451
3926272,3699929
21715,20590
30021,9373
33417,137538
77180,82784
9966,94122
112801,368901
137880,382934
198518,242071
25670,25775
25670,6136
25670,2202
25775,6136
25775,2202
6136,2202
79578,17900
26918,36100
100752,109832
51369,39455
4091,14743
186333,39837
71187,18231
110844,110977
53127,90037
53127,137602
90037,137602
545064,222714
1474859,183424
1474859,620403
1474859,404882
1474859,620407
183424,620403
183424,404882
183424,620407
620403,404882
620403,620407
404882,620407
5648,120527
66154,31777
150781,36099
773818,352749
14646,21742
62134,254791
634808,185582
203724,641211
203724,1093338
641211,1093338
153521,1061488
153521,1424910
1061488,1424910
13732,227626
227465,110844
227465,229665
227465,36100
227465,120307
110844,229665
110844,36100
110844,120307
229665,36100
229665,120307
36100,120307
253588,192683
2577997,703922
395018,113469
2121782,50200
39015,53163
702182,702181
92898,243792
420353,36100
1120131,165952
1120131,3433517
165952,3433517
116348,87450
1070241,1070242
333524,218950
333524,323303
218950,323303
111506,185587
1706444,3023938
1706444,185582
3023938,185582
2207559,2207560
2207559,192683
2207560,192683
130964,454902
130964,1118780
454902,1118780
1099486,137603
186300,206415
792886,1751594
792886,467940
1751594,467940
2545,227583
195013,69211
1117694,407748
1117694,132882
407748,132882
53120,626136
176751,41233
